name,MCCMNC,ChineseName,TADIG,DRAIMSIPrefix
MagtiCom,28202,,GEOMA
Mahanagar Telephone (Mauritius) Ltd,61702;61703,,MUSMT
Manx Telecom,23458,,GBRMT
Maroc Telecom,60401,,MARM1
Mascom Botswana,65201,,BWAGA
Maxis,50212,,MYSBC
MCI,43211,,IRN11
MCP,90112,,NORMC
Meditel,60400,,MARMT
MegaFon,25002,,RUSNW
MEO,26806,,PRTTM
Meteor Mobile Telecommunications Limited,27203,,IRLME
MIC 1,41501,,LBNFL
Microcell Telecommunications (Fido),,,CANMC
Midwest Network Solutions Hub,31370;31370,,USAMH
Millicom Tchad,62203,,TCDML
MobiCom Corporation,42899,,MNGMC
Mobifone (VMS),45201,,VNMMO
Mobile Telecom Service Kazakhstan,40177;40107,,KAZ77
Mobilicity Canada,302320,,CANDW
MOBILIS,60301,,DZAA1
Mobily (Etihad Etisalat),42003;42006,,SAUET
Mobinil,60201,,EGYAR
Mobiquithings France,20824,,AAZ24
Mobisle Communications Limited,27821,,MLTGO
Mobistar,20610,,BELMO
Mobitel Bulgaria,28401,,BGR01
Mobitel Georgia ,28204,,GEOMT
Mobitel Slovenia,29341,,SVNMT
Mobitel Sri Lanka,41301,,LKA71
MOLDCELL,25902,,MDAMC
MOLDTELECOM Moldova,25905,,MDAUN
Monaco Telecom,21202;21210;90127,,MCOM2
Movicel Angola,63104,,AGOMV
MT Vala Kosovo,21201,,MCOM1
Mtel Montenegro,29703,,MNE03
MTN Bissau,63202,,GNBSB
MTN Cameroon,62401,,CMRMT
MTN Cyprus,28010,,CYPSC
MTN Ghana,62001,,GHASC
MTN Iran,43235,,IRNMI
MTN Ivory Coast,61205,,CIVTL
MTN Nigeria,62130,,NGAMN
MTN Rwanda,63510,,RWAMN
MTN South Africa,65510;65512,,ZAFMN
MTN Sudan,63402,,SDNBT
MTN Zambia,64502,,ZMB02
MTS Belarus,25702,,BLR02
MTS Russia,25001,,RUS01
MTS Turkmenistan,43801,,TKMBC
MTS Ukraine,25501,,UKRUM
MTS Uzbekistan,43407,,UZB07
MTT Peering Hub,,,
MTX Connect,27002;27002;27902;27902;90139;90139,,MTX01
Myanmar Posts and Telecommunications,41401,,MMRPT
MYS/PACONE,502153;502153,,MYSP1
NA-CHI-DSC-01,,,
NA-DAL-DSC-01,,,
Nepal Telecom,42901,,NPLNM
Netcom,24202;24205,,NORNC
NetGenuity,312630,,USA55
Network Norway,24205,,NORNN
New Cell Inc. dba Cellcom,310600;310620,,
NewCo2015 Bahamas,36449,,BHSNC
NewCore Wireless,310460;310460;311530;311530;312260;312260,,USANW
Nex-Tech Wireless,312420,,USA6G
Nextel Brazil,72400;72439,,BRAN3
Nextel Mexico,334090,,MEXNC
Nigeria Telecommunications Ltd (NITEL GSM),62140,,NGANT
Northeast Wireless Networks,311710;311710,,USANF
Nova,27411,,ISLNO
NTT DoCoMo,44010,,JPNDO
Nucleo,74405,,PRYNP
NUEVATEL Bolivia,73601,,BOLNT
NurTelecom Kyrgyzstan,43709,,KGZNT
O2 Czech Republic,23002,,CZEET
O2 Slovakia,23106,,SVKO2
Oi Movel SA,72416;72431,,BRATM
Oman Mobile,42202,,OMNGT
Omnitel,24601,,LTUOM
Ooredoo Kuwait,41903,,KWTNM
Ooredoo Myanmar Limited,41405,,MMROM
Ooredoo OMN,42203,,OMNNT
Ooredoo Qatar,42701,,QATQT
Open Mobile PR,330120,,
Optimus,26803,,PRTOP
Optus,50502,,AUSOP
Orange (Antaris SMM),64602,,MDGK8
Orange (France Caraibe Mobiles),34001,,GLP01
Orange Armenia,28310,,ARMOR
Orange Bissau,63203,,GNB03
Orange Botswana,65202,,BWAVC
Orange Cameroon,62402,,CMR02
Orange Dominicana,37001,,DOM01
Orange France,20801;20801;20802;20802;90131;90131,,FRAF1
Orange Ivory Coast,61203,,CIV03
Orange Jordan,41677,,JORMC
Orange Liechtenstein,29502,,LIEVE
Orange Luxembourg,27099,,LUXVM
Orange Mali,61002,,MLI02
Orange Moldova,25901,,MDAVX
Orange Poland,26003;26034,,POL03
Orange Reunion,64700,,REU02
Orange Romania,22610,,ROMMR
Orange Slovensko,23101,,SVKGT
Orange Spain,21403;21409,,ESPRT
Orange Switzerland,22803;22860,,CHEOR
Orange Tunisia,60501,,TUNOR
Orange Uganda,64114,,UGAOR
Orange UK,23433,,GBROR
OTEGlobe GRX Peer,,,
Outremer Telecom French Guiana,34002,,GUF01
Partner Communications Company Ltd,42501,,ISR01
PCCW Global Peer,,,
Pelephone Israel,42503,,ISRPL
Persistent Telecom ,,,
Pine Telephone,311080,,USAP1
Play Mobile,26006,,POLP4
PNCC Wireless,55201,,
Polkomtel,26001;26012,,POLKM
PrimeTel Cyprus,28020,,CYPPT
Proximus,20601,,BELTB
Pulse Mobile Guam,310140,,USAPU
QCELL,60704,,GMBQC
Radiomovil (TELCEL),334020,,MEXTL
RCS & RDS ,22605,,ROM05
Regional Telecom Company,,,IRQFL
Reliance Jio,405873;405867;405860;405854;405872;405865;405859;405870;405864;405857;405869;405862;405856;405874;405867;405861;405854;405873;405866;405859;405840;405871;405865;405858;405870;405863;405857;405868;405862;405855;405855;405873;405867;405860;405854;405872;405865;405859;405870;405864;405857;405869;405862;405856;405874;405867;405861;405854;405873;405866;405859;405840;405871;405865;405858;405870;405863;405857;405868;405862;405862;405855;405873;405867;405860;405854;405872;405865;405859;405870;405864;405857;405869;405862;405856;405874;405868;405861;405854;405873;405866;405860;405840;405871;405865;405858;405870;405863;405857;405868;405868;405862;405855;405873;405867;405860;405854;405872;405865;405859;405870;405864;405857;405869;405862;405856;405874;405868;405861;405854;405873;405866;405860;405840;405871;405865;405858;405870;405863;405857;405868;405862;405855;405873;405867;405860;405854;405872;405865;405859;405871;405864;405857;405869;405863;405856;405874;405868;405861;405855;405873;405866;405860;405840;405871;405865;40,,INDJX;INDJ
Rightel,43220,,IRNTT
Robi Axiata,47002;47002,,BGDAK
Rogers Wireless,302370;302370;302720;302720,,CANRW
S9 NA CHI DRA,,,
S9 NA DAL DRA,,,
Safaricom,63902;63902,,KENSA;KENK8
Sagebrush Cellular/Nemont,312480,,USANT
SamoaTel Samoa,54927;54927,,
Sasktel Mobility,302654;302780;302880,,CANST
SETAR,36301,,ABWSE
SFR,20809;20809;20810;20810;20811;20811;20813;20813,,FRAF2
Silverstar Communications USA,312430,,
Siminn hf,27412;27412;27412;27401;27401;27401;27412;27412;27412;27401;27401;27401,,ISLPS;AAMOW
SingTel Mobile,52501;52502,,SGPST
SK Telecom,45005,,KORSK
SK Telink Corporation,450998,,
Sky Mobile,43701,,KGZ01
SkyTel Mongolia,42800;42801,,MNG01
Slovak Telecom,23102,,SVKET
SMART,51503;51505,,PHLSR
Smart Axiata,45606;45606;45602;45602,,KHML1
SMART Tanzania,64008;64001,,TZAYA
Smartfren Telecom Indonesia,51009;51009;51028;51028;51009;51009;51028;51028,,IDNM8;IDNST
SmarTone Macau,45500,,MACSM
SmarTone Mobile,45406,,HKGSM
Smith Bagley,310320,,USASB
Societe Nationale des Telecommunications (Comores Telecom),65401,,COMHR
SOFTBANK MOBILE,44020;44000,,JPNJP
Solomon Telekom Co Ltd,54001,,SLBSI
SONATEL,60801,,SENAZ
South East Asia Telecom,45611,,KHM3A
SouthernLINC Wireless,312720,,
Spark New Zealand Trading Limited,53005,,NZLTM
Speednet,70269,,BLZSC
Spice Nepal Private Limited,42902,,NPLM2
Sprint PCS,310120;311870;311490;316010;312530,,USANC
Sprint-312530,,,USASV
SSi Micro LTD,302480,,CANSS
STA Andorra,21303,,ANDMA
StarHub,52505;52508,,SGPSH
STC,42001,,SAUAJ
STC Bahrain,42604,,BHRST
Strata Network USA,312290;312430,,
Sunrise Switzerland,22802,,CHEDX
Sure Gurnsey,23455;90146,,GBRGT
Swazi Mobile,65302,,
Swisscom,22801,,CHEC1
Sybase Peering Hub,,,
Syniverse Account,,,
Syniverse Peering Hub,31072,,
T+ Telecomunicacoes,62502,,CPVTM
T-Mobile Austria,23203;23203;23203;23203,,AUTMM;AUTTR
T-Mobile Czech,23001,,CZERM
T-Mobile Germany,90140;26201;26201;90140,,DEUD1
T-Mobile Hungary,21630;21601,,HUNH2
T-Mobile Macedon,29401,,MKDMM
T-Mobile Montenegro ,29702;22004,,MNETM
T-Mobile Netherlands,20416;20416;20420;20420,,NLDPN
T-Mobile Poland,26002,,POL02
T-Mobile USA Inc,310220;310230;310230;310240;310240;310250;310250;310260;310260;310160;310270;310160;310270;310200;310310;310200;310310;310210;310490;310210;310490;310220,,USAD1
Taiwan Mobile,46693;46697;46699,,TWNPC
Taiwan Star,46689,,TWNTG
Tampnet,242999;242999;311170;311170,,AAMT2
Tango Luxembourg,27077,,LUXTG
TashiCell,40277,,BTNTC
TATA Communications Peer,,,
TDC Mobil AS,23801;23810;24208;24014,,DNKTD
TDC Mobil Norway,24208,,
TDC Sweden,24014,,
TDCA (Roshan) Afghanistan,41220,,AFGTD
Telcell St. Maarten,36251,,ANTTC
Tele2 Croatia,21902,,HRVT2
Tele2 Estonia,24803,,ESTRB
Tele2 Latvia,24702,,LVABC
Tele2 Lithuania,24603,,LTU03
Tele2 Netherlands,20402,,NLDT2
Tele2 peering,,,
Tele2 Russia,25020,,RUST2
Tele2 Sweden,24007;24010;24024,,SWEIQ
Telecel Bolivia,73603,,BOLTE
Telecel Gabon,62802,,GABTL
Telecel Paraguay,74404,,PRYTC
Telecel Zimbabwe (PVT) Ltd,64803,,ZWEN3
Telecom Cook Islands,54801,,COKTC
Telecom Italia Mobile,22201,,ITASI
Telecom Italia Sparkle DSS Peer,,,
Telecom Liechtenstein,29505,,LIEMK
Telecom Personal SA,72234;72236;72234;72236,,ARGTP;ARGVO
Telecom Seychelles,63310,,SYCAT
Telecom Vanuatu,54101,,VUT01
Telecom26,90146,,TELA1
TelecomAustria DSS Peer,,,
Teleena Netherlands,,,NLDTE;AAZTE
Telefonica Argentina,72207;722010;72207;722010,,ARGTM;ARG01
Telefonica Celular de Nicaragua S.A.,71030;710300,,NICMS
Telefonica Chile,73002;73007,,CHLTM
Telefonica Colombia (Movistar),732123,,COLTM
Telefonica International Wholesale,,,
Telefonica Moviles,21405;21407;21407;21405,,ESPTE
Telefonica Moviles Costa Rica,71204,,CRITC
Telefonica Moviles Ecuador,740102;74000;74004;74007,,ECUOT
Telefonica Moviles EL Salvador,70604,,SLVTS
Telefonica Moviles Guatemala,70403,,GTMTG
Telefonica Moviles Mexico,334030;33403,,MEXMS
Telefonica Moviles Panama,71420;714002;714020;71402,,PANMS
Telefonica Moviles Peru,71606,,PERMO
Telefonica Moviles UY,74807,,URYTM
Telefonica O2 Germany,26207;26207;26203;26203,,DEUE2
Telefonica O2 UK,23410,,GBRCN
Telekom Romania Mobile Communications S.A.,22603;22606,,ROMCS
Telekom Srbija,22003,,YUGTS
Telemach Mobil,29370,,SVNVG
Telenet Belgium,20605,,
Telenet Group bvba sprl(BASE),20620;20605,,BELKO
Telenor Bulgaria,28405,,BGRCM
Telenor Denmark,23802,,DNKDM
Telenor Hungary,21601,,HUNH1
Telenor Montenegro,29701,,YUGPM
Telenor Myanmar,41406,,MMRTN
Telenor Norway,24201,,NORTM
Telenor Pakistan,41006,,PAKTP
Telenor Peering DSS,,,
Telenor Serbia,22001,,YUGMT
Telenor Sweden,90129;24064;24064;24064;24006;24006;24006;24024;24008;24024;24008;24024;24008;24004;24042;24004;24042;24004;24042;90129;90129,,SWEEP
TeliaSonera Denmark,23820;23866,,DNKIA
TeliaSonera Finland,24491,,FINTF
TeliaSonera Peer Hub,,,
TeliaSonera Sweden,24001;24005,,SWETR
Telkom Kenya,63907,,KENTK
Telkomsel,51010,,IDNTS
Telma Mobile,64604,,MDGTM
Telna USA,310840,,USATL
Telstra,50501,,AUSTA
Telstra DSS Peer,,,
Telus Mobility,302220;302220;302760;302760,,CANTM
Three Ireland,27205;27205;27202;27202,,IRLH3
Tigo Guatemala,70402,,GTMCM
Tigo Honduras,70802,,HND02
TIGO RWANDA S.A,63513,,
Tigo Tanzania,64002,,TZAMB
Tigo(Telemovil) El Salvador,70603,,SLVTM
TikiPhone,54720,,FRATK
TIM Brazil,72402;72403;72402;72403;72403;72403;72403;72404;72404;72403;72404;72404;72402;72404;72402;72404;72402;72403;72403;72403;72404;72404;72402;72404;72402;72402;72402,,BRASP;BRACS;BRARN
TMT Russian,25027,,RUS27
Tonga Communications Corporation,53901,,TON01
Transaction Network Services Peering Hub,,,
TRANSATEL France,90137,,AAZTR
Trilogy Dominicana,37004,,DOMAC
Truemove 3G,52000;52000;52004;52004,,
Truphone UK,23425,,GBRTR
TSTT,37412,,TTO12
Tunisiana,60503,,TUNTA
Tunisie Telecom,60502,,TUNTT
Turkcell,28601,,TURTC
Two Degrees Mobile Limited,53024,,NZLNH
U Mobile,50218,,MYSMI
U.S. Cellular,311580;311999,,
UK Broadband,23451,,
Umniah,41603,,JORUM
Union Telephone,310020,,USAUN
Unitel Laos,,,LAOAS
Unitel Mongolia,42888,,MNGMN
UNITEL S.a.r.l.,63102,,AGOUT
UTS Curacao,36291,,ANTUT
Velcom Belarus,25701,,BLRMD
Verizon Wireless,311480;311480;311890;311890;310890;310890;310012;310012;311270;311270,,USAVW
"Vermont Telephone Company, Inc",311990,,USAVT
Viaero Wireless,310450,,USACI
Videotron,302500;302520,,CANVT
Vietnamobile Telecommunications Joint Stock Company,45205,,VNMVM
Viettel Cambodia ,45608,,KHMVC
Viettel Group,45204,,VNMVT
Vimpelcom Russia,25099,,RUSBD
Vinaphone,45202,,VNMVM
VIP Operator,29403;29402,,MKDNO
VIP Serbia,22005,,SRBNO
VIPNet,21910,,HRVVI
Vitelcom Cellular DBA Innovative Wireless,311470;3110405,,
Vivo,72423;72423;72406;72406;72406;72406;72410;72410;72410;72410;72411;72411;72411;72411;72423;72423,,BRAV1
Vodacom Lesotho,65101,,LSOVL
Vodacom South Africa,65501,,ZAFVC
Vodacom Tanzania,64004,,TZAVC
Vodafone Albania,27602,,ALBVF
Vodafone Australia,50503,,AUSVF
Vodafone Czech,23003,,CZECM
Vodafone Egypt,60202,,EGYMS
Vodafone Fiji,54201,,FJIVF
Vodafone Germany,26202,,DEUD2
Vodafone Ghana,62002,,GHAGT
Vodafone Greece,20205;20214;20205;20214,,GRCPF;GRCCT
Vodafone Hungary Ltd,21670,,HUNVR
Vodafone Iceland,27402,,ISLTL
Vodafone India (Essar),40546;40466;40427;40584;40527;40443;40411;40411;40546;40484;40427;40584;40527;40443;40411;40546;40484;40427;40586;40527;40443;40411;40546;40484;40427;40586;40527;40446;40411;40566;40484;40427;40586;40527;40446;40446;40411;40566;40484;40430;40586;40527;40446;40411;40566;40484;40430;40586;40543;40446;40420;40566;40484;40430;40586;40543;40446;40420;40566;40486;40430;40586;40543;40543;40446;40420;40566;40486;40430;40405;40543;40466;40420;40566;40486;40430;40405;40543;40466;40420;40584;40486;40430;40405;40543;40466;40420;40584;40486;40443;40405;40546;40466;40420;40584;40486;40443;40405;40546;40466;40427;40584;40486;40443;40405;40546;40466;40427;40584;40527;40443;40405,,INDHM
Vodafone IPX Peering Hub,,,
Vodafone Ireland,27201,,IRLEC
