key,value
epc.mnc003.mcc537.3gppnetwork.org,7326#Digicel-Papua-New-Guinea
epc.mnc011.mcc274.3gppnetwork.org,7262#Nova
epc.mnc022.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc017.mcc716.3gppnetwork.org,7339#NII-PERU
epc.mnc700.mcc311.3gppnetowork.org,12645#Midwest-Network-Solutions-Hub
epc.mnc002.mcc653.3gppnetwork.org,12612#Swazi-Mobile
epc.mnc003.mcc260.3gppnetwork.org,6798#Orange-Poland
commnetwireless.com,6955#Commnet-Wireless
epc.mnc001.mcc744.3gppnetwork.org,12591#Hola
epc.mnc110.mcc330.3gppnetwork.org,7319#Claro-Puerto-Rico
epc.mnc220.mcc302.3gppnetwork.org,6121#Telus-Mobility
EPC.MNC310.MCC722.3GPPNETWORK.ORG,7095#AMX-Argentina-S-A-Claro
epc.mnc000.mcc350.3gppnetwork.org,7334#Digital-Bermuda
epc.mnc001.mcc370.3gppnetwork.org,7107#Orange-Dominicana
epc1.mnc092.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc016.mcc901.3gppnetwork.org,6977#Japser-Wireless
epc.mnc005.mcc466.3gppnetwork.org,6829#Asia-Pacific-Telecom
epc.mnc009.mcc295.3gppnetwork.org.key2roam.comfone.com,12633#Emnify
epc.mnc001.mcc231.3gppnetwork.org,6938#Orange-Slovensko
epc.mnc020.mcc714.3gppnetwork.org,7065#TM-Panama
epc.mnc030.mcc404.3gppnetwork.org,7271#Vodafone-India-Essar
epc.mnc480.mcc312.3gppnetwork.org,6900#Sagebrush-Cellular/Nemont
epc.mnc003.mcc420.3gppnetwork.org,6489#Mobily-Etihad-Etisalat
epc.mnc170.mcc348.3gppnetwork.org,7070#CWWI-British-Virgin
epc.mnc011.mcc232.3gppnetwork.org,12499#BOB-Austria
epc.mnc011.mcc528.3gppnetwork.org,6562#DataStream-Technology
dra.ipx.syniverse.3gppnetwork.org,0000#Syniverse-DSC
epc.mnc049.mcc364.3gppnetwork.org,7424#NewCo2015-Bahamas
epc.mnc150.mcc310.3gppnetwork.org,6977#Jasper-Wireless
epc.mnc858.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc003.mcc622.3gppnetwork.org,7507#Millicom-Tchad
epc.mnc020.mcc204.3gppnetwork.org,7026#T-Mobile-Netherlands
epc.mnc004.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc003.mcc628.3gppnetwork.org,12731#Celtel-Gabon
epc.mnc021.mcc278.3gppnetwork.org,7317#Mobisle-Communications
epc.mnc051.mcc405.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc035.mcc454.3gppnetwork.org,12643#Webbing-Hong-Kong-Limited
epc.mnc007.mcc214.3gppnetwork.org,6581#TM-Spain
epc.mnc089.mcc404.3gppnetwork.org,7264#IDEA
epc.mnc096.mcc404.3gppnetwork.org,7013#Bharti-Airtel-India
epc.mnc010.mcc716.3gppnetwork.org,6811#Claro-Peru
epc.mnc869.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc620.mcc302.3gppnetwork.org,12520#Ice-Wireless-GSM
mnc007.mcc240.3gppnetwork.org,6723#Tele2-Sweden
limitlessmobile.net,7052#Limitless-Mobile-USA
epc.mnc001.mcc340.3gppnetwork.org,7323#Orange-France-Caraibe
epc.mnc020.mcc234.3gppnetwork.org,7301#Hutchison-3G-UK
sjcdra001.aicent.grx,6208#DRA1-SJC3
epc.mnc460.mcc310.3gppnetwork.org,7447#Conecto
epc.mnc004.mcc410.3gppnetwork.org,12527#Cmpak-Pakistan
epc.mnc042.mcc240.3gppnetwork.org,6959#Telenor-Sweden
epc.mnc854.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc004.mcc452.3gppnetwork.org,7325#Viettel-Group
epc.mnc780.mcc302.3gppnetwork.org,7344#Sasktel-Mobility
epc.mnc610.mcc310.3gppnetwork.org,12625#Choice-Wireless
dramag1.epc.mnc001.mcc748.3gppnetwork.org,6624#Antel
epc.mnc600.mcc342.3gppnetwork.org,7070#CWWI-Barbados
epc.mnc370.mcc310.3gppnetwork.org,6561#Docomo-Pacific
epc.mnc001.mcc714.3gppnetwork.org,7499#Cable-and-Wireless-Panama
epc.mnc004.mcc434.3gppnetwork.org,7439#BeelineUnitel-Uzbekistan
epc.mnc002.mcc505.3gppnetwork.org,6085#Optus
epc.mnc520.mcc310.3gppnetwork.org,7282#Transaction-Network-Services-Peering-Hub
epc.mnc001.mcc542.3gppnetwork.org,6796#Vodafone-Fiji
EPC.MNC001.MCC510.3GPPNETWORK.ORG,6976#Indosat---M3
epc.mnc770.mcc310.3gppnetwork.org,7079#Iowa-Wireless
epc.mnc001.mcc708.3gppnetwork.org,7273#Claro-Honduras
epc.mnc690.mcc302.3gppnetwork.org,6566#Bell-Mobility
epc.mnc030.mcc621.3gppnetwork.org,12597#MTN-Nigeria
hkgdra001.aicent.grx,6355#DRA1-HKG2
epc.mnc004.mcc648.3gppnetwork.org,7449#Econet-Wireless
dra.ipx.telstra-global.3gppnetwork.org,6609#Telstra-DSS-Peer
epc.mnc010.mcc212.3gppnetwork.org,7030#Monaco-Telecom
br.epc.mnc001.mcc206.3gppnetwork.org,6604#Proximus
MME.EPC.MNC090.MCC404.3GPPNETWORK.ORG,7013#Bharti-Airtel-India
epc.mnc010.mcc206.3gppnetwork.org,6695#Mobistar
epc.mnc001.mcc530.3gppnetwork.org,6719#Vodafone-Mobile-NZ
epc.mnc530.mcc311.3gppnetwork.org,6902#NewCore-Wireless
epc.mnc001.mcc548.3gppnetwork.org,12521#Telecom-Cook-Islands
epc.mnc001.mcc539.3gppnetwork.org,12642#Tonga-Communications-Corporation
epc.mnc011.mcc724.3gppnetwork.org,6363#Vivo
epc.mnc007.mcc232.3gppnetwork.org,6954#T-Mobile-Austria
epc.mnc006.mcc240.3gppnetwork.org,6959#Telenor-Sweden
epc.mnc016.mcc204.3gppnetwork.org,7026#T-Mobile-Netherlands
epc.mnc873.mcc405.3gppnetwork.org,7083#Reliance-Jio
epc.mnc000.mcc520.3gppnetwork.org,6526#Truemove-3G
epc.mnc088.mcc428.3gppnetwork.org,7329#Unitel-Mongolia
epc.mnc240.mcc310.3gppnetwork.org,6648#T-Mobile-USA-Inc
epc.mnc002.mcc607.3gppnetwork.org,12507#Africell-Gambia)-Ltd
epc.mnc002.mcc604.3gppnetwork.org,7093#Wana-Corporate
epc.mnc001.mcc230.3gppnetwork.org,6898#T-Mobile-Czech
epc.mnc031.mcc901.3gppnetwork.org,6541#Orange-France
epc.mnc020.mcc310.3gppnetwork.org,12637#Union-Telephone
epc.mnc003.mcc214.3gppnetwork.org,6569#Orange-Spain
epc.mnc123.mcc732.3gppnetwork.org,6621#Telefonica-Colombia
epc.mnc002.mcc272.3gppnetwork.org,7346#Three-Ireland
epc.mnc077.mcc401.3gppnetwork.org,7444#Mobile-Telecom-Kazakhstan
epc.mnc001.mcc712.3gppnetwork.org,7352#INSTITUTO-COSTARRICENSE
ipx.etisalat.3gppnetwork.org,6815#ETISALAT-UAE-DSS-Peer
epc.mnc009.mcc460.3gppnetwork.org,6684#China-Unicom
epc.mnc001.mcc283.3gppnetwork.org,7313#Armentel
epc.mnc001.mcc603.3gppnetwork.org,7426#MOBILIS
epc.mnc070.mcc216.3gppnetwork.org,6981#Vodafone-Hungary-Ltd
epc.mnc006.mcc716.3gppnetwork.org,7011#TM-Peru
signal.teliasonera.ipxnetwork.org,6847#TeliaSonera-Peer-Hub
epc.mnc004.mcc744.3gppnetwork.org,7343#Telecel-Paraguay
epc.mnc077.mcc416.3gppnetwork.org,7018#Orange-Jordan
rinawireless.com,7378#Strata-Network-USA
epc.mnc002.mcc704.3gppnetwork.org,12534#Tigo-Guatemala
epc.mnc010.mcc202.3gppnetwork.org,7287#Wind-Greece
epc.mnc001.mcc280.3gppnetwork.org,7351#Cyprus-Telecom-Auth
epc.mnc010.mcc208.3gppnetwork.org,6555#SFR
epc.mnc001.mcc286.3gppnetwork.org,6872#Turkcell
epc.mnc005.mcc724.3gppnetwork.org,6639#Claro-Brazil
epc.mnc027.mcc404.3gppnetwork.org,7271#Vodafone-India-Essar
videotron.com,7054#Videotron
epc.mnc005.mcc242.3gppnetwork.org,7116#Network-Norway
EPC.MNC012.MCC502.3GPPNETWORK.ORG,6504#Maxis
epc.mnc002.mcc219.3gppnetwork.org,6978#Tele2-Croatia
EPC.MNC003.MCC424.3GPPNETWORK.ORG,6795#Du
