name,id,item,value
Telenet Group bvba sprl(BASE),6857,DRACustomerRealmName,epc.mnc020.mcc206.3gppnetwork.org
Telenet Group bvba sprl(BASE),6857,DRAIMSIPrefix,20620
SFR,6555,DRACustomerRealmName,epc.mnc009.mcc208.3gppnetwork.org
SFR,6555,DRACustomerRealmName,epc.mnc010.mcc208.3gppnetwork.org
SFR,6555,DRAIMSIPrefix,20809
SFR,6555,DRAIMSIPrefix,20810
Vodafone Netherlands,6712,DRACustomerRealmName,epc.mnc004.mcc204.3gppnetwork.org
Vodafone Netherlands,6712,DRAIMSIPrefix,20404
E-Plus,12491,DRACustomerRealmName,epc.mnc003.mcc262.3gppnetwork.org
E-Plus,12491,DRAIMSIPrefix,26203
KPN Mobile The Netherlands BV,6697,DRACustomerRealmName,epc.mnc008.mcc204.3gppnetwork.org
KPN Mobile The Netherlands BV,6697,DRAIMSIPrefix,20408
Mobitel Slovenia,6807,DRACustomerRealmName,epc.mnc041.mcc293.3gppnetwork.org
Mobitel Slovenia,6807,DRAIMSIPrefix,29341
Vodafone Ireland,6750,DRACustomerRealmName,epc.mnc001.mcc272.3gppnetwork.org
Vodafone Ireland,6750,DRAIMSIPrefix,27201
Orange Spain,6569,DRACustomerRealmName,epc.mnc003.mcc214.3gppnetwork.org
Orange Spain,6569,DRAIMSIPrefix,21403
Partner Communications Company Ltd,6701,DRACustomerRealmName,epc.mnc001.mcc425.3gppnetwork.org
Partner Communications Company Ltd,6701,DRAIMSIPrefix,42501
Polkomtel,6925,DRACustomerRealmName,epc.mnc001.mcc260.3gppnetwork.org
Polkomtel,6925,DRAIMSIPrefix,26001
Sunrise Switzerland,6787,DRACustomerRealmName,epc.mnc002.mcc228.3gppnetwork.org
Sunrise Switzerland,6787,DRAIMSIPrefix,22802
Vodafone Greece,6739,DRACustomerRealmName,epc.mnc005.mcc202.3gppnetwork.org
Vodafone Greece,6739,DRAIMSIPrefix,20205
MEO,6535,DRACustomerRealmName,epc.mnc006.mcc268.3gppnetwork.org
MEO,6535,DRAIMSIPrefix,26806
Vodafone Germany,6740,DRACustomerRealmName,epc.mnc002.mcc262.3gppnetwork.org
Vodafone Germany,6740,DRAIMSIPrefix,26202
TeliaSonera Sweden,6833,DRACustomerRealmName,epc.mnc001.mcc240.3gppnetwork.org
TeliaSonera Sweden,6833,DRAIMSIPrefix,24001
Netcom,6836,DRACustomerRealmName,epc.mnc002.mcc242.3gppnetwork.org
Netcom,6836,DRAIMSIPrefix,24202
TeliaSonera Denmark,6834,DRACustomerRealmName,epc.mnc020.mcc238.3gppnetwork.org
TeliaSonera Denmark,6834,DRAIMSIPrefix,23820
Telenor Sweden,6959,DRACustomerRealmName,epc.mnc008.mcc240.3gppnetwork.org
Telenor Sweden,6959,DRACustomerRealmName,epc.mnc042.mcc240.3gppnetwork.org
Telenor Sweden,6959,DRACustomerRealmName,epc.mnc006.mcc240.3gppnetwork.org
Telenor Sweden,6959,DRAIMSIPrefix,24008
Telenor Sweden,6959,DRAIMSIPrefix,24042
Telenor Sweden,6959,DRAIMSIPrefix,24006
T-Mobile Hungary,6893,DRACustomerRealmName,epc.mnc030.mcc216.3gppnetwork.org
T-Mobile Hungary,6893,DRAIMSIPrefix,21630
Avea,7086,DRACustomerRealmName,epc.mnc003.mcc286.3gppnetwork.org
Avea,7086,DRAIMSIPrefix,28603
Vodafone Spain,6711,DRACustomerRealmName,epc.mnc001.mcc214.3gppnetwork.org
Vodafone Spain,6711,DRAIMSIPrefix,21401
Elisa,6934,DRACustomerRealmName,epc.mnc005.mcc244.3gppnetwork.org
Elisa,6934,DRACustomerRealmName,epc.mnc021.mcc244.3gppnetwork.org
Elisa,6934,DRAIMSIPrefix,24405
Elisa,6934,DRAIMSIPrefix,24421
T-Mobile Austria,6954,DRACustomerRealmName,epc.mnc003.mcc232.3gppnetwork.org
T-Mobile Austria,6954,DRACustomerRealmName,epc.mnc007.mcc232.3gppnetwork.org
T-Mobile Austria,6954,DRAIMSIPrefix,23203
T-Mobile Austria,6954,DRAIMSIPrefix,23207
Telefonica Moviles,6581,DRACustomerRealmName,epc.mnc007.mcc214.3gppnetwork.org
Telefonica Moviles,6581,DRACustomerRealmName,epc.mnc005.mcc214.3gppnetwork.org
Telefonica Moviles,6581,DRAIMSIPrefix,21407
Telefonica Moviles,6581,DRAIMSIPrefix,21405
Optimus,6620,DRACustomerRealmName,epc.mnc003.mcc268.3gppnetwork.org
Optimus,6620,DRAIMSIPrefix,26803
Alands Mobiltelefon,7484,DRACustomerRealmName,epc.mnc014.mcc244.3gppnetwork.org
Alands Mobiltelefon,7484,DRAIMSIPrefix,24414
Hutchison 3G Sweden,7094,DRACustomerRealmName,epc.mnc002.mcc240.3gppnetwork.org
Hutchison 3G Sweden,7094,DRAIMSIPrefix,24002
Orange France,6541,DRACustomerRealmName,epc.mnc001.mcc208.3gppnetwork.org
Orange France,6541,DRACustomerRealmName,epc.mnc031.mcc901.3gppnetwork.org
Orange France,6541,DRAIMSIPrefix,20801
Orange France,6541,DRAIMSIPrefix,90131
Siminn hf,6957,DRACustomerRealmName,epc.mnc001.mcc274.3gppnetwork.org
Siminn hf,6957,DRACustomerRealmName,epc.mnc012.mcc274.3gppnetwork.org
Siminn hf,6957,DRACustomerRealmName,epc.mnc008.mcc274.3gppnetwork.org
Siminn hf,6957,DRAIMSIPrefix,27401
Siminn hf,6957,DRAIMSIPrefix,27412
Siminn hf,6957,DRAIMSIPrefix,27408
Wind Greece,7287,DRACustomerRealmName,epc.mnc010.mcc202.3gppnetwork.org
Wind Greece,7287,DRAIMSIPrefix,20210
Wind Greece,7287,DRAIMSIPrefix,20209
T-Mobile Netherlands,7026,DRACustomerRealmName,epc.mnc016.mcc204.3gppnetwork.org
T-Mobile Netherlands,7026,DRACustomerRealmName,epc.mnc020.mcc204.3gppnetwork.org
T-Mobile Netherlands,7026,DRAIMSIPrefix,20416
T-Mobile Netherlands,7026,DRAIMSIPrefix,20420
Croatian Telecom Inc,6941,DRACustomerRealmName,epc.mnc001.mcc219.3gppnetwork.org
Croatian Telecom Inc,6941,DRAIMSIPrefix,21901
Vodafone Australia,6793,DRACustomerRealmName,epc.mnc003.mcc505.3gppnetwork.org
Vodafone Australia,6793,DRAIMSIPrefix,50503
T-Mobile Poland,6936,DRACustomerRealmName,epc.mnc002.mcc260.3gppnetwork.org
T-Mobile Poland,6936,DRAIMSIPrefix,26002
SOFTBANK MOBILE,6199,DRACustomerRealmName,epc.mnc020.mcc440.3gppnetwork.org
SOFTBANK MOBILE,6199,DRAIMSIPrefix,44020
Vodafone Turkey,6751,DRACustomerRealmName,epc.mnc002.mcc286.3gppnetwork.org
Vodafone Turkey,6751,DRAIMSIPrefix,28602
Vodafone Hungary Ltd,6981,DRACustomerRealmName,epc.mnc070.mcc216.3gppnetwork.org
Vodafone Hungary Ltd,6981,DRAIMSIPrefix,21670
O2 Czech Republic,7063,DRACustomerRealmName,epc.mnc002.mcc230.3gppnetwork.org
O2 Czech Republic,7063,DRAIMSIPrefix,23002
Mobisle Communications Limited,7317,DRACustomerRealmName,epc.mnc021.mcc278.3gppnetwork.org
Mobisle Communications Limited,7317,DRAIMSIPrefix,27821
ETISALAT UAE,6617,DRACustomerRealmName,epc.mnc002.mcc424.3gppnetwork.org
ETISALAT UAE,6617,DRAIMSIPrefix,42402
Zain Jordan(JMTS),7113,DRACustomerRealmName,epc.mnc001.mcc416.3gppnetwork.org
Zain Jordan(JMTS),7113,DRAIMSIPrefix,41601
Orange Poland,6798,DRACustomerRealmName,epc.mnc003.mcc260.3gppnetwork.org
Orange Poland,6798,DRAIMSIPrefix,26003
Omnitel,6838,DRACustomerRealmName,epc.mnc001.mcc246.3gppnetwork.org
Omnitel,6838,DRAIMSIPrefix,24601
Turkcell,6872,DRACustomerRealmName,epc.mnc001.mcc286.3gppnetwork.org
Turkcell,6872,DRAIMSIPrefix,28601
Cellcom Israel Ltd,6816,DRACustomerRealmName,epc.mnc002.mcc425.3gppnetwork.org
Cellcom Israel Ltd,6816,DRAIMSIPrefix,42502
Vodafone Egypt,7293,DRACustomerRealmName,epc.mnc002.mcc602.3gppnetwork.org
Vodafone Egypt,7293,DRAIMSIPrefix,60202
Telkomsel,6462,CustomerNodeRealm,telinbtm.3gppnetwork.org
Telkomsel,6462,CustomerNodeRealm,telinhkg.3gppnetwork.org
Telkomsel,6462,DRACustomerRealmName,epc.mnc010.mcc510.3gppnetwork.org
Telkomsel,6462,DRAIMSIPrefix,51010
A1 Slovenia,6773,DRACustomerRealmName,epc.mnc040.mcc293.3gppnetwork.org
A1 Slovenia,6773,DRAIMSIPrefix,29340
Vodafone Malta,6931,DRACustomerRealmName,epc.mnc028.mcc901.3gppnetwork.org
Vodafone Malta,6931,DRACustomerRealmName,epc.mnc001.mcc278.3gppnetwork.org
Vodafone Malta,6931,DRAIMSIPrefix,90128
Vodafone Malta,6931,DRAIMSIPrefix,27801
EPT Luxembourg,6840,DRACustomerRealmName,epc.mnc001.mcc270.3gppnetwork.org
EPT Luxembourg,6840,DRAIMSIPrefix,27001
Bharti Airtel India,7013,CustomerNodeRealm,airtel-west-hss-realm
Bharti Airtel India,7013,CustomerNodeRealm,airtel-south-hss-realm
Bharti Airtel India,7013,CustomerNodeRealm,airtel-east-hss-realm
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc002.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc010.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc045.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc040.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc049.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc094.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc095.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc031.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc053.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc090.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc092.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc070.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc003.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc096.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc093.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc054.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc097.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc055.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc051.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc056.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc098.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc016.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmName,epc.mnc052.mcc405.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc.mnc02.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC031.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC053.MCC405.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,MME.EPC.MNC090.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,EPC.MNC092.MCC404.3GPPNETWORK.ORG
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,mme.epc.mnc002.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc1.mnc092.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc1.mnc090.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRACustomerRealmNameBeforeTranslation,epc2.mnc090.mcc404.3gppnetwork.org
Bharti Airtel India,7013,DRAIMSIPrefix,40402
Bharti Airtel India,7013,DRAIMSIPrefix,40410
Bharti Airtel India,7013,DRAIMSIPrefix,40445
Bharti Airtel India,7013,DRAIMSIPrefix,40440
Bharti Airtel India,7013,DRAIMSIPrefix,40449
Bharti Airtel India,7013,DRAIMSIPrefix,40494
Bharti Airtel India,7013,DRAIMSIPrefix,40495
Bharti Airtel India,7013,DRAIMSIPrefix,40431
Bharti Airtel India,7013,DRAIMSIPrefix,40553
Bharti Airtel India,7013,DRAIMSIPrefix,40490
Bharti Airtel India,7013,DRAIMSIPrefix,40492
Bharti Airtel India,7013,DRAIMSIPrefix,40470
Bharti Airtel India,7013,DRAIMSIPrefix,40403
Bharti Airtel India,7013,DRAIMSIPrefix,40496
Bharti Airtel India,7013,DRAIMSIPrefix,40493
Bharti Airtel India,7013,DRAIMSIPrefix,40554
Bharti Airtel India,7013,DRAIMSIPrefix,40497
Bharti Airtel India,7013,DRAIMSIPrefix,40555
Bharti Airtel India,7013,DRAIMSIPrefix,40551
Bharti Airtel India,7013,DRAIMSIPrefix,40556
Bharti Airtel India,7013,DRAIMSIPrefix,40498
Bharti Airtel India,7013,DRAIMSIPrefix,40416
Bharti Airtel India,7013,DRAIMSIPrefix,40552
MegaFon,6439,DRACustomerRealmName,epc.mnc002.mcc250.3gppnetwork.org
MegaFon,6439,DRAIMSIPrefix,25002
Zain Kuwait,7117,DRACustomerRealmName,epc.mnc002.mcc419.3gppnetwork.org
Zain Kuwait,7117,DRAIMSIPrefix,41902
ELISA EESTI AS,6930,DRACustomerRealmName,epc.mnc002.mcc248.3gppnetwork.org
ELISA EESTI AS,6930,DRAIMSIPrefix,24802
Manx Telecom,7330,DRACustomerRealmName,epc.mnc058.mcc234.3gppnetwork.org
Manx Telecom,7330,DRAIMSIPrefix,23458
Indosat - M3,6976,DRACustomerRealmName,epc.mnc001.mcc510.3gppnetwork.org
Indosat - M3,6976,DRAIMSIPrefix,51001
Orange Dominicana,7107,DRACustomerRealmName,epc.mnc001.mcc370.3gppnetwork.org
Orange Dominicana,7107,DRAIMSIPrefix,37001
Vodacom South Africa,6745,DRACustomerRealmName,epc.mnc001.mcc655.3gppnetwork.org
Vodacom South Africa,6745,DRAIMSIPrefix,65501
Telenor Serbia,7074,DRACustomerRealmName,epc.mnc001.mcc220.3gppnetwork.org
Telenor Serbia,7074,DRAIMSIPrefix,22001
Cyprus Telecommunications Auth,7351,DRACustomerRealmName,epc.mnc001.mcc280.3gppnetwork.org
Cyprus Telecommunications Auth,7351,DRAIMSIPrefix,28001
Jersey Telecom,6937,DRACustomerRealmName,epc.mnc050.mcc234.3gppnetwork.org
Jersey Telecom,6937,DRAIMSIPrefix,23450
Mobinil,7433,DRACustomerRealmName,epc.mnc001.mcc602.3gppnetwork.org
Mobinil,7433,DRAIMSIPrefix,60201
Maroc Telecom,7036,DRACustomerRealmName,epc.mnc001.mcc604.3gppnetwork.org
Maroc Telecom,7036,DRAIMSIPrefix,60401
Orange Romania,6732,DRACustomerRealmName,epc.mnc010.mcc226.3gppnetwork.org
Orange Romania,6732,DRAIMSIPrefix,22610
Hutchison 3G,7370,DRACustomerRealmName,epc.mnc099.mcc222.3gppnetwork.org
Hutchison 3G,7370,DRAIMSIPrefix,22299
Mobitel Sri Lanka,6910,DRACustomerRealmName,epc.mnc001.mcc413.3gppnetwork.org
Mobitel Sri Lanka,6910,DRAIMSIPrefix,41301
KT Corporation,6359,CustomerNodeRealm,dea1a.dea.epc.mnc008.mcc450.3gppnetwork.org
KT Corporation,6359,DRACustomerRealmName,epc.mnc008.mcc450.3gppnetwork.org
KT Corporation,6359,DRAIMSIPrefix,45008
