display_name,name,realm,remote_ip,remote_pip,attempt_connect,maxActive,disabled,peer_test_mode,peer_mtu,local_port_range_1,local_port_range_2,local_port_range_3,local_port_range_4,local_port_range_5,local_port_range_6,local_port_range_7,local_port_range_8,MaxInboundStreams,MaxOutboundStreams
ssi-igloolik-mme01,aaa://igloolik-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.122,0,false,1,false,true,1500,,,,,,,,,,
ssi-iqaluit-mme01,aaa://iqaluit-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.130,0,false,1,false,true,1500,,,,,,,,,,
ssi-kimmirut-mme01,aaa://kimmirut-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.138,0,false,1,false,true,1500,,,,,,,,,,
ssi-kugaaruk-mme01,aaa://kugaaruk-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.146,0,false,1,false,true,1500,,,,,,,,,,
ssi-kugluktuk-mme01,aaa://kugluktuk-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.154,0,false,1,false,true,1500,,,,,,,,,,
ssi-pangnirtung-mme01,aaa://pangnirtung-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.170,0,false,1,false,true,1500,,,,,,,,,,
ssi-naujaat-mme01,aaa://naujaat-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.162,0,false,1,false,true,1500,,,,,,,,,,
ssi-pondinlet-mme01,aaa://pondinlet-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.178,0,false,1,false,true,1500,,,,,,,,,,
ssi-qikiqtarjuaq-mme01,aaa://qikiqtarjuaq-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.186,0,false,1,false,true,1500,,,,,,,,,,
ssi-rankininlet-mme01,aaa://rankininlet-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.194,0,false,1,false,true,1500,,,,,,,,,,
ssi-resolutebay-mme01,aaa://resolutebay-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.202,0,false,1,false,true,1500,,,,,,,,,,
ssi-sanikiluaq-mme01,aaa://sanikiluaq-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.210,0,false,1,false,true,1500,,,,,,,,,,
ssi-taloyoak-mme01,aaa://taloyoak-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.218,0,false,1,false,true,1500,,,,,,,,,,
ssi-whalecove-mme01,aaa://whalecove-mme01.epc.mnc480.mcc302.3gppnetwork.org;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.226,0,false,1,false,true,1500,,,,,,,,,,
ssi-gslt-knta-lte-hss-I,aaa://gslt-knta-lte-hss.epc.mnc480.mcc302.3gppnetwork.org:3868;transport=sctp,epc.mnc480.mcc302.3gppnetwork.org,96.46.47.28,0,true,1,false,true,1500,17163,,,,,,,,65535,65535
Telecel-BODEA,aaa://dea-bo00.epc.mnc004.mcc744.3gppnetwork.org:3868;transport=sctp,epc.mnc004.mcc744.3gppnetwork.org,"181.40.64.42,181.40.64.50",,false,1,false,true,1500,,,,,,,,,,
Telecel-VEDEA,aaa://dea-ve00.epc.mnc004.mcc744.3gppnetwork.org:3868;transport=sctp,epc.mnc004.mcc744.3gppnetwork.org,"181.40.64.26,181.40.64.34",,false,1,false,true,1500,,,,,,,,,,
